PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36181398","Activation of Piezo1 contributes to matrix stiffness-induced angiogenesis in hepatocellular carcinoma","Li M, Zhang X, Wang M, Wang Y, Qian J, Xing X, Wang Z, You Y, Guo K, Chen J, Gao D, Zhao Y, Zhang L, Chen R, Cui J, Ren Z.","Cancer Commun (Lond). 2022 Nov;42(11):1162-1184. doi: 10.1002/cac2.12364. Epub 2022 Oct 1.","Li M","Cancer Commun (Lond)","2022","2022/10/01","PMC9648387","","10.1002/cac2.12364"
"36328754","Mechanical overloading induces GPX4-regulated chondrocyte ferroptosis in osteoarthritis via Piezo1 channel facilitated calcium influx","Wang S, Li W, Zhang P, Wang Z, Ma X, Liu C, Vasilev K, Zhang L, Zhou X, Liu L, Hayball J, Dong S, Li Y, Gao Y, Cheng L, Zhao Y.","J Adv Res. 2022 Nov;41:63-75. doi: 10.1016/j.jare.2022.01.004. Epub 2022 Jan 11.","Wang S","J Adv Res","2022","2022/11/03","PMC9637484","","10.1016/j.jare.2022.01.004"
"31941964","Mechanical sensing protein PIEZO1 regulates bone homeostasis via osteoblast-osteoclast crosstalk","Wang L, You X, Lotinun S, Zhang L, Wu N, Zou W.","Nat Commun. 2020 Jan 15;11(1):282. doi: 10.1038/s41467-019-14146-6.","Wang L","Nat Commun","2020","2020/01/17","PMC6962448","","10.1038/s41467-019-14146-6"
"40695281","Procr(+) chondroprogenitors sense mechanical stimuli to govern articular cartilage maintenance and regeneration","Zhu Q, Yin F, Qin J, Shi W, Liu Y, Zhao Y, Wang J, Zhang L, Fan A, Cao D, Peng Q, Zhou B, Wang L, Zou W, Yue R.","Cell. 2025 Sep 18;188(19):5194-5211.e16. doi: 10.1016/j.cell.2025.06.036. Epub 2025 Jul 21.","Zhu Q","Cell","2025","2025/07/22","","","10.1016/j.cell.2025.06.036"
"37759400","The Critical Role of The Piezo1/β-catenin/ATF4 Axis on The Stemness of Gli1(+) BMSCs During Simulated Microgravity-Induced Bone Loss","Hu Y, Tian H, Chen W, Liu Y, Cao Y, Pei H, Ming C, Shan C, Chen X, Dai Z, Yang S, Shao Z, Lan S, Liu Y, Tong W.","Adv Sci (Weinh). 2023 Nov;10(32):e2303375. doi: 10.1002/advs.202303375. Epub 2023 Sep 27.","Hu Y","Adv Sci (Weinh)","2023","2023/09/28","PMC10646271","","10.1002/advs.202303375"
"31290742","The mechanosensitive Piezo1 channel is required for bone formation","Sun W, Chi S, Li Y, Ling S, Tan Y, Xu Y, Jiang F, Li J, Liu C, Zhong G, Cao D, Jin X, Zhao D, Gao X, Liu Z, Xiao B, Li Y.","Elife. 2019 Jul 10;8:e47454. doi: 10.7554/eLife.47454.","Sun W","Elife","2019","2019/07/11","PMC6685704","","10.7554/eLife.47454"
"32186512","Piezo1/2 mediate mechanotransduction essential for bone formation through concerted activation of NFAT-YAP1-ß-catenin","Zhou T, Gao B, Fan Y, Liu Y, Feng S, Cong Q, Zhang X, Zhou Y, Yadav PS, Lin J, Wu N, Zhao L, Huang D, Zhou S, Su P, Yang Y.","Elife. 2020 Mar 18;9:e52779. doi: 10.7554/eLife.52779.","Zhou T","Elife","2020","2020/03/19","PMC7112954","","10.7554/eLife.52779"
"37786932","Occlusal Force Maintains Alveolar Bone Homeostasis via Type H Angiogenesis","Chen Y, Yin Y, Luo M, Wu J, Chen A, Deng L, Xie L, Han X.","J Dent Res. 2023 Nov;102(12):1356-1365. doi: 10.1177/00220345231191745. Epub 2023 Oct 3.","Chen Y","J Dent Res","2023","2023/10/03","","","10.1177/00220345231191745"
"33627868","A mechanosensitive peri-arteriolar niche for osteogenesis and lymphopoiesis","Shen B, Tasdogan A, Ubellacker JM, Zhang J, Nosyreva ED, Du L, Murphy MM, Hu S, Yi Y, Kara N, Liu X, Guela S, Jia Y, Ramesh V, Embree C, Mitchell EC, Zhao YC, Ju LA, Hu Z, Crane GM, Zhao Z, Syeda R, Morrison SJ.","Nature. 2021 Mar;591(7850):438-444. doi: 10.1038/s41586-021-03298-5. Epub 2021 Feb 24.","Shen B","Nature","2021","2021/02/25","PMC7979521","NIHMS1667690","10.1038/s41586-021-03298-5"
"39418070","Insufficient Mechanical Loading Downregulates Piezo1 in Chondrocytes and Impairs Fracture Healing Through ApoE-Induced Senescence","Jia S, Liu W, Zhang M, Wang L, Ren C, Feng C, Zhang T, Lv H, Hou Z, Zou W, Zhang Y, Tong W, Wang J, Chen W.","Adv Sci (Weinh). 2024 Dec;11(46):e2400502. doi: 10.1002/advs.202400502. Epub 2024 Oct 17.","Jia S","Adv Sci (Weinh)","2024","2024/10/17","PMC11633519","","10.1002/advs.202400502"
"37553778","Lepr-Expressing PDLSCs Contribute to Periodontal Homeostasis and Respond to Mechanical Force by Piezo1","Zhang D, Lin W, Jiang S, Deng P, Liu L, Wang Q, Sheng R, Shu HS, Wang L, Zou W, Zhou BO, Jing J, Ye L, Yu B, Zhang S, Yuan Q.","Adv Sci (Weinh). 2023 Oct;10(29):e2303291. doi: 10.1002/advs.202303291. Epub 2023 Aug 8.","Zhang D","Adv Sci (Weinh)","2023","2023/08/09","PMC10582421","","10.1002/advs.202303291"
"39239523","Apoptotic vesicle-mediated senolytics requires mechanical loading","Xue Z, Jiang Y, Meng B, Lu L, Hao M, Zhang Y, Shi S, Li Z, Mao X.","Theranostics. 2024 Aug 6;14(12):4730-4746. doi: 10.7150/thno.98763. eCollection 2024.","Xue Z","Theranostics","2024","2024/09/06","PMC11373628","","10.7150/thno.98763"
"33738515","Disuse Osteoporosis: Clinical and Mechanistic Insights","Rolvien T, Amling M.","Calcif Tissue Int. 2022 May;110(5):592-604. doi: 10.1007/s00223-021-00836-1. Epub 2021 Mar 18.","Rolvien T","Calcif Tissue Int","2022","2021/03/19","PMC9013332","","10.1007/s00223-021-00836-1"
"38271270","Long-term simulated microgravity fosters carotid aging-like changes via Piezo1","Zhang J, Wang X, Fu Z, Xing C, Wang Z, Yang H, Li J, Liu M, Dong L, Zhang X, Li Y, Wang J, Long J, Liu J, Wang S, Li J, Gao F.","Cardiovasc Res. 2024 Apr 30;120(5):548-559. doi: 10.1093/cvr/cvae024.","Zhang J","Cardiovasc Res","2024","2024/01/25","","","10.1093/cvr/cvae024"
"37975010","The emerging role of Piezo1 channels in skeletal muscle physiology","Mirzoev TM.","Biophys Rev. 2023 Sep 29;15(5):1171-1184. doi: 10.1007/s12551-023-01154-6. eCollection 2023 Oct.","Mirzoev TM","Biophys Rev","2023","2023/11/17","PMC10643716","","10.1007/s12551-023-01154-6"
"40212079","A Novel Piezo1 Agonist Promoting Mesenchymal Stem Cell Proliferation and Osteogenesis to Attenuate Disuse Osteoporosis","Hao R, Tang H, Ding C, Rajbanshi B, Liu Y, Ma D, Duan Z, Qi Y, Dai L, Zhang B, Zhang A, Zhang X.","Small Sci. 2024 Jun 30;4(9):2400061. doi: 10.1002/smsc.202400061. eCollection 2024 Sep.","Hao R","Small Sci","2024","2025/04/11","PMC11935128","","10.1002/smsc.202400061"
"38925225","MiR-214-3p regulates Piezo1, lysyl oxidases and mitochondrial function in human cardiac fibroblasts","Trevelyan CJ, MacCannell ADV, Stewart L, Tarousa T, Taylor HA, Murray M, Bageghni SA, Hemmings KE, Drinkhill MJ, Roberts LD, Smith AJ, Porter KE, Forbes KA, Turner NA.","Matrix Biol. 2024 Sep;132:34-46. doi: 10.1016/j.matbio.2024.06.005. Epub 2024 Jun 25.","Trevelyan CJ","Matrix Biol","2024","2024/06/26","","","10.1016/j.matbio.2024.06.005"
"40854881","Targeting miR-337 mitigates disuse-induced bone loss","Li J, Ma D, Zhang C, Zheng X, Hao R, Zuo B, Xiao F, Li Y, Liu Y, Duan Z, Xiong Y, Fan OR, Zhu W, Dai L, Zhang B, Sun YE, Zhang X.","Cell Discov. 2025 Aug 26;11(1):71. doi: 10.1038/s41421-025-00822-z.","Li J","Cell Discov","2025","2025/08/25","PMC12378244","","10.1038/s41421-025-00822-z"
"38579563","ω3-PUFA alleviates neuroinflammation by upregulating miR-107 targeting PIEZO1/NFκB p65","Liu H, Zhou L, Yi P, Zhan F, Zhou L, Dong Y, Xiong Y, Hua F, Xu G.","Int Immunopharmacol. 2024 May 10;132:111996. doi: 10.1016/j.intimp.2024.111996. Epub 2024 Apr 4.","Liu H","Int Immunopharmacol","2024","2024/04/05","","","10.1016/j.intimp.2024.111996"
"38815290","PIEZO1 as a new target for hyperglycemic stress-induced neuropathic injury: The potential therapeutic role of bezafibrate","Liu H, Zhou L, Wang X, Lin Y, Yi P, Xiong Y, Zhan F, Zhou L, Dong Y, Ying J, Wu L, Xu G, Hua F.","Biomed Pharmacother. 2024 Jul;176:116837. doi: 10.1016/j.biopha.2024.116837. Epub 2024 May 29.","Liu H","Biomed Pharmacother","2024","2024/05/30","","","10.1016/j.biopha.2024.116837"
"41362723","Piezo1-driven mechanotransduction regulates mitochondrial biogenesis by AMPK/SIRT1-mediated PGC-1α deacetylation to ameliorate bone loss in disuse osteoporosis","Chen J, Wu D, Huang C, Yan Z, Wang J, Li S, Chen X, Zhu Y, Zhang Y.","Int J Biol Sci. 2026 Jan 1;22(1):308-326. doi: 10.7150/ijbs.124043. eCollection 2026.","Chen J","Int J Biol Sci","2026","2025/12/09","PMC12681831","","10.7150/ijbs.124043"
"35351580","miR-10b-5p-mediated upregulation of PIEZO1 predicts poor prognosis and links to purine metabolism in breast cancer","Chen X, Chen J.","Genomics. 2022 May;114(3):110351. doi: 10.1016/j.ygeno.2022.110351. Epub 2022 Mar 26.","Chen X","Genomics","2022","2022/03/30","","","10.1016/j.ygeno.2022.110351"
"39547079","A biosensory μvessel-gravity device for advancing vascular analysis in space medicine","Xu K, Wang X, Bai H, Wu G, Zhang W, Zhou J, Zhang P, Zhang X, Peng B, Voelcker NH, Gao F, Li J.","Biosens Bioelectron. 2025 Jan 15;268:116923. doi: 10.1016/j.bios.2024.116923. Epub 2024 Nov 8.","Xu K","Biosens Bioelectron","2025","2024/11/15","","","10.1016/j.bios.2024.116923"
"39000362","PIEZO1 Promotes the Migration of Endothelial Cells via Enhancing CXCR4 Expression under Simulated Microgravity","Wang Y, Li C, Wang R, Zhao X, Pan Y, Zhang Q, Li S, Fan J, Wang Y, Sun X.","Int J Mol Sci. 2024 Jul 1;25(13):7254. doi: 10.3390/ijms25137254.","Wang Y","Int J Mol Sci","2024","2024/07/13","PMC11242226","","10.3390/ijms25137254"
"41291909","A novel BMSC-derived Exosomal circrna promotes angiogenesis by targeting miR-34a-5p to regulate Piezo1","Wu T, Zhou Y, Jiang Y, Li X, Shi W, Wang Z, Guo S, Wang Y, Li T.","Stem Cell Res Ther. 2025 Nov 25;16(1):659. doi: 10.1186/s13287-025-04769-6.","Wu T","Stem Cell Res Ther","2025","2025/11/26","PMC12720445","","10.1186/s13287-025-04769-6"
"38093125","Simulated Microgravity Changes the Number of Mechanically Gated and Mechanosensitive Ion Channels Genes Transcripts in Rat Ventricular Cardiomyocytes","Kamkin AG, Mitrokhin VM, Kamkina OV, Kazansky VE, Rodina AS, Zolotareva AD, Zolotarev VI, Sutyagin PV, Mladenov MI, Shenkman BS, Kalashnikov VE, Orlov OI.","Dokl Biochem Biophys. 2023 Oct;512(1):251-255. doi: 10.1134/S1607672923700369. Epub 2023 Dec 13.","Kamkin AG","Dokl Biochem Biophys","2023","2023/12/13","","","10.1134/S1607672923700369"
"38508350","The PIEZO1/miR-155-5p/GDF6/SMAD2/3 signaling axis is involved in inducing the occurrence and progression of osteoarthritis under excessive mechanical stress","Qin C, Feng Y, Yin Z, Wang C, Yin R, Li Y, Chen K, Tao T, Zhang K, Jiang Y, Gui J.","Cell Signal. 2024 Jun;118:111142. doi: 10.1016/j.cellsig.2024.111142. Epub 2024 Mar 18.","Qin C","Cell Signal","2024","2024/03/20","","","10.1016/j.cellsig.2024.111142"
"39998493","Static Topographical Cue Combined with Dynamic Fluid Stimulation Enhances the Macrophage Extracellular Vesicle Yield and Therapeutic Potential for Bone Defects","Huang H, Xiao L, Fang L, Lei M, Liu Z, Gao S, Lei Q, Lei J, Wei R, Lei Y, Xue L, Geng Z, Cai L, Yan F.","ACS Nano. 2025 Mar 11;19(9):8667-8691. doi: 10.1021/acsnano.4c15201. Epub 2025 Feb 25.","Huang H","ACS Nano","2025","2025/02/25","","","10.1021/acsnano.4c15201"
"33775217","Mechanosensory and mechanotransductive processes mediated by ion channels in articular chondrocytes: Potential therapeutic targets for osteoarthritis","Zhang K, Wang L, Liu Z, Geng B, Teng Y, Liu X, Yi Q, Yu D, Chen X, Zhao D, Xia Y.","Channels (Austin). 2021 Dec;15(1):339-359. doi: 10.1080/19336950.2021.1903184.","Zhang K","Channels (Austin)","2021","2021/03/29","PMC8018402","","10.1080/19336950.2021.1903184"
"41207150","Selective killing of cancer-associated fibroblasts by ultrasound-mediated mechanical forces","Sankar G, Roy Choudhury A, Luha R, Kumar A, Kulkarni K, Yao M, Pratap R, Kapali A, Tijore A.","Biomaterials. 2026 May;328:123844. doi: 10.1016/j.biomaterials.2025.123844. Epub 2025 Nov 7.","Sankar G","Biomaterials","2026","2025/11/09","","","10.1016/j.biomaterials.2025.123844"
"41488471","Spatial Transcriptional Heterogeneity in the Infarct Core and Its Surrounding Regions Targeting Piezo1 Signals in Rats With Myocardial Ischemia-Reperfusion Injury","Li Z, Jiang F, Chen Y, Li Z, Wu Y, He Z, Wu D, Xiang H.","MedComm (2020). 2026 Jan 2;7(1):e70537. doi: 10.1002/mco2.70537. eCollection 2026 Jan.","Li Z","MedComm (2020)","2026","2026/01/05","PMC12757850","","10.1002/mco2.70537"
"38501500","Mechanical Unloading Promotes Osteoclastic Differentiation and Bone Resorption by Modulating the MSC Secretome to Favor Inflammation","Wang W, Zheng X, Wang H, Zuo B, Chen S, Li J.","Cell Transplant. 2024 Jan-Dec;33:9636897241236584. doi: 10.1177/09636897241236584.","Wang W","Cell Transplant","2024","2024/03/19","PMC10953070","","10.1177/09636897241236584"
"34502380","Piezoelectric Microvibration Mitigates Estrogen Loss-Induced Osteoporosis and Promotes Piezo1, MicroRNA-29a, and Wnt3a Signaling in Osteoblasts","Wu RW, Lian WS, Chen YS, Ko JY, Wang SY, Jahr H, Wang FS.","Int J Mol Sci. 2021 Aug 31;22(17):9476. doi: 10.3390/ijms22179476.","Wu RW","Int J Mol Sci","2021","2021/09/10","PMC8431199","","10.3390/ijms22179476"
"41683847","PIEZO1 Mediates Apoptosis of Endothelial Cells via Enhancing HMGA2 Expression Under Simulated Microgravity","Wang Y, Wang R, Qin X, Pan Y, Li C, Sun X.","Int J Mol Sci. 2026 Jan 30;27(3):1425. doi: 10.3390/ijms27031425.","Wang Y","Int J Mol Sci","2026","2026/02/13","PMC12898271","","10.3390/ijms27031425"
"31597314","PIEZO1 and TRPV4, which Are Distinct Mechano-Sensors in the Osteoblastic MC3T3-E1 Cells, Modify Cell-Proliferation","Yoneda M, Suzuki H, Hatano N, Nakano S, Muraki Y, Miyazawa K, Goto S, Muraki K.","Int J Mol Sci. 2019 Oct 8;20(19):4960. doi: 10.3390/ijms20194960.","Yoneda M","Int J Mol Sci","2019","2019/10/11","PMC6801562","","10.3390/ijms20194960"
"38933959","Piezo1 - Serine/threonine-protein phosphatase 2A - Cofilin1 biochemical mechanotransduction axis controls F-actin dynamics and cell migration","Morena F, Argentati C, Caponi S, Lüchtefeld I, Emiliani C, Vassalli M, Martino S.","Heliyon. 2024 Jun 5;10(11):e32458. doi: 10.1016/j.heliyon.2024.e32458. eCollection 2024 Jun 15.","Morena F","Heliyon","2024","2024/06/27","PMC11201121","","10.1016/j.heliyon.2024.e32458"
"39462841","Structural Modification and Pharmacological Evaluation of (Thiadiazol-2-yl)pyrazines as Novel Piezo1 Agonists for the Intervention of Disuse Osteoporosis","Tang H, Hao R, Ma D, Yao Y, Ding C, Zhang X, Zhang A.","J Med Chem. 2024 Nov 14;67(21):19837-19851. doi: 10.1021/acs.jmedchem.4c02224. Epub 2024 Oct 27.","Tang H","J Med Chem","2024","2024/10/28","","","10.1021/acs.jmedchem.4c02224"
"30658617","Obesity impacts the regulation of miR-10b and its targets in primary breast tumors","Meerson A, Eliraz Y, Yehuda H, Knight B, Crundwell M, Ferguson D, Lee BP, Harries LW.","BMC Cancer. 2019 Jan 18;19(1):86. doi: 10.1186/s12885-019-5300-6.","Meerson A","BMC Cancer","2019","2019/01/20","PMC6339293","","10.1186/s12885-019-5300-6"
"27515482","MiR-103a targeting Piezo1 is involved in acute myocardial infarction through regulating endothelium function","Huang L, Li L, Chen X, Zhang H, Shi Z.","Cardiol J. 2016;23(5):556-562. doi: 10.5603/CJ.a2016.0056. Epub 2016 Aug 12.","Huang L","Cardiol J","2016","2016/08/13","","","10.5603/CJ.a2016.0056"
"32667916","Mechanosensitivity is an essential component of phototransduction in vertebrate rods","Bocchero U, Falleroni F, Mortal S, Li Y, Cojoc D, Lamb T, Torre V.","PLoS Biol. 2020 Jul 15;18(7):e3000750. doi: 10.1371/journal.pbio.3000750. eCollection 2020 Jul.","Bocchero U","PLoS Biol","2020","2020/07/16","PMC7384764","","10.1371/journal.pbio.3000750"
"38324181","Exosomal circZNF800 Derived from Glioma Stem-like Cells Regulates Glioblastoma Tumorigenicity via the PIEZO1/Akt Axis","Zhang N, Wu P, Mu M, Niu C, Hu S.","Mol Neurobiol. 2024 Sep;61(9):6556-6571. doi: 10.1007/s12035-024-04002-0. Epub 2024 Feb 7.","Zhang N","Mol Neurobiol","2024","2024/02/07","PMC11338982","","10.1007/s12035-024-04002-0"
"40721379","Molecular basis of individual locomotor function: Integrated understanding of gene expression regulation in the development and homeostasis of the musculoskeletal system","Asahara H.","Proc Jpn Acad Ser B Phys Biol Sci. 2025;101(7):373-393. doi: 10.2183/pjab.101.027.","Asahara H","Proc Jpn Acad Ser B Phys Biol Sci","2025","2025/07/28","PMC12463553","","10.2183/pjab.101.027"
